1915.png	revolving hearts	💞️	\U0001F49E\U0000FE0F	U+1F49E	revolving hearts
1916.png	two hearts	💕️	\U0001F495\U0000FE0F	U+1F495	two hearts
1917.png	heart decoration	💟️	\U0001F49F\U0000FE0F	U+1F49F	heart decoration
1918.png	heart exclamation	❣️	\U00002763\U0000FE0F	U+2763	heart exclamation
1919.png	broken heart	💔️	\U0001F494\U0000FE0F	U+1F494	broken heart
1920.png	red heart	❤️	\U00002764\U0000FE0F	U+2764	red heart
1921.png	orange heart	🧡️	\U0001F9E1\U0000FE0F	U+1F9E1	orange heart
1922.png	yellow heart	💛️	\U0001F49B\U0000FE0F	U+1F49B	yellow heart
1923.png	green heart	💚️	\U0001F49A\U0000FE0F	U+1F49A	green heart
1924.png	blue heart	💙️	\U0001F499\U0000FE0F	U+1F499	blue heart
1925.png	purple heart	💜️	\U0001F49C\U0000FE0F	U+1F49C	purple heart
1926.png	brown heart	🤎️	\U0001F90E\U0000FE0F	U+1F90E	brown heart
1927.png	black heart	🖤️	\U0001F5A4\U0000FE0F	U+1F5A4	black heart
1928.png	white heart	🤍️	\U0001F90D\U0000FE0F	U+1F90D	white heart
1929.png	hundred points	💯️	\U0001F4AF\U0000FE0F	U+1F4AF	hundred points
1930.png	anger symbol	💢️	\U0001F4A2\U0000FE0F	U+1F4A2	anger symbol
1931.png	collision	💥️	\U0001F4A5\U0000FE0F	U+1F4A5	collision
1932.png	dizzy	💫️	\U0001F4AB\U0000FE0F	U+1F4AB	dizzy
1933.png	sweat droplets	💦️	\U0001F4A6\U0000FE0F	U+1F4A6	sweat droplets
1934.png	dashing away	💨️	\U0001F4A8\U0000FE0F	U+1F4A8	dashing away
1935.png	hole	🕳️	\U0001F573\U0000FE0F	U+1F573	hole
1936.png	bomb	💣️	\U0001F4A3\U0000FE0F	U+1F4A3	bomb
1937.png	speech balloon	💬️	\U0001F4AC\U0000FE0F	U+1F4AC	speech balloon
1938.png	eye in speech bubble	👁️‍🗨️️	\U0001F441\U0000FE0F\U0000200D\U0001F5E8\U0000FE0F\U0000FE0F	U+1F441 U+FE0F U+200D U+1F5E8 U+FE0F	eye in speech bubble
1939.png	left speech bubble	🗨️	\U0001F5E8\U0000FE0F	U+1F5E8	left speech bubble
1940.png	right anger bubble	🗯️	\U0001F5EF\U0000FE0F	U+1F5EF	right anger bubble
